"","x","freq"
"1","A. J.",14
"2","Aaron",37
"3","Ab",1
"4","Abbie",1
"5","Abe",6
"6","Abel",2
"7","Abie",1
"8","Abner",2
"9","Abraham",3
"10","Ace",4
"11","Ad",5
"12","Adalberto",2
"13","Adam",38
"14","Addie",1
"15","Addison",2
"16","Adeiny",1
"17","Admiral",1
"18","Adolfo",1
"19","Adonis",2
"20","Adrian",12
"21","Adron",1
"22","Agustin",1
"23","Akeel",1
"24","Akinori",2
"25","Al",191
"26","Alamazoo",1
"27","Alan",20
"28","Alay",1
"29","Albert",6
"30","Alberto",9
"31","Albie",2
"32","Alcides",1
"33","Alec",3
"34","Aleck",1
"35","Aledmys",1
"36","Alejandro",5
"37","Alen",1
"38","Alex",82
"39","Alexander",2
"40","Alexei",1
"41","Alexi",3
"42","Alexis",2
"43","Alf",1
"44","Alfonso",2
"45","Alfred",1
"46","Alfredo",6
"47","Algie",1
"48","Ali",1
"49","Allan",8
"50","Allen",11
"51","Allie",5
"52","Allyn",1
"53","Alonzo",2
"54","Alta",1
"55","Alton",1
"56","Alvaro",1
"57","Alvin",3
"58","Amado",1
"59","Amalio",1
"60","Amauri",1
"61","Amaury",2
"62","Ambiorix",1
"63","Ambrose",2
"64","Amby",2
"65","Amos",5
"66","Anastacio",1
"67","Anderson",3
"68","Andre",7
"69","Andrelton",1
"70","Andres",7
"71","Andrew",25
"72","Andruw",1
"73","Andujar",1
"74","Andy",83
"75","Aneury",1
"76","Angel",20
"77","Angelo",3
"78","Anibal",1
"79","Anse",1
"80","Anthony",21
"81","Antoan",1
"82","Anton",1
"83","Antone",1
"84","Antonio",4
"85","Aquilino",1
"86","Aramis",1
"87","Arch",2
"88","Archi",1
"89","Archie",10
"90","Argenis",2
"91","Ariel",3
"92","Arismendy",1
"93","Arky",1
"94","Arlas",1
"95","Arlie",3
"96","Arlo",1
"97","Armando",8
"98","Arndt",1
"99","Arnie",4
"100","Arnold",5
"101","Arodys",1
"102","Aroldis",1
"103","Arquimedes",1
"104","Arquimedez",1
"105","Art",83
"106","Arthur",3
"107","Artie",3
"108","Arturo",2
"109","Asa",2
"110","Asdrubal",1
"111","Asher",1
"112","Ashur",1
"113","Astyanax",1
"114","Atahualpa",1
"115","Atlee",1
"116","Atley",1
"117","Aubrey",3
"118","Audry",1
"119","Augie",7
"120","Aurelio",3
"121","Austin",10
"122","Avisail",1
"123","Axel",1
"124","B. J.",4
"125","Babe",17
"126","Baby",1
"127","Baby Doll",1
"128","Bake",1
"129","Baldy",1
"130","Balor",1
"131","Balvino",1
"132","Bama",1
"133","Ban",1
"134","Barbaro",2
"135","Barney",16
"136","Barret",1
"137","Barry",18
"138","Bart",6
"139","Bartolo",1
"140","Bartolome",1
"141","Beals",1
"142","Beany",1
"143","Beau",2
"144","Beauty",1
"145","Beiker",1
"146","Belden",1
"147","Beltran",1
"148","Belve",1
"149","Ben",64
"150","Bengie",1
"151","Benito",2
"152","Benj",1
"153","Benji",1
"154","Benn",1
"155","Bennie",3
"156","Benny",12
"157","Bernard",1
"158","Bernardo",1
"159","Bernie",18
"160","Bert",43
"161","Beryl",1
"162","Bevo",1
"163","Bibb",1
"164","Bid",1
"165","Biddy",1
"166","Bien",1
"167","Biff",5
"168","Big Jeff",1
"169","Biggs",1
"170","Bill",549
"171","Billy",119
"172","Billy Jo",1
"173","Bing",1
"174","Binky",1
"175","Bip",1
"176","Birdie",2
"177","Bitsy",1
"178","Biz",1
"179","Blackie",2
"180","Blaine",5
"181","Blaise",1
"182","Blake",13
"183","Blas",2
"184","Blix",1
"185","Blondie",1
"186","Blondy",1
"187","Blue Moon",1
"188","Bo",7
"189","Boardwalk",1
"190","Bob",341
"191","Bobby",108
"192","Bobo",3
"193","Bock",1
"194","Boileryard",1
"195","Bombo",1
"196","Bones",1
"197","Bonnie",1
"198","Boob",1
"199","Boof",1
"200","Boog",1
"201","Boom-Boom",1
"202","Boone",1
"203","Boots",2
"204","Boss",1
"205","Bots",1
"206","Bowie",1
"207","Boyd",2
"208","Boze",1
"209","Brad",48
"210","Braden",2
"211","Bradin",1
"212","Brady",4
"213","Braggo",1
"214","Branch",1
"215","Branden",1
"216","Brandon",45
"217","Brandy",1
"218","Brant",2
"219","Braulio",1
"220","Brayan",2
"221","Brendan",3
"222","Brennan",1
"223","Brent",17
"224","Bret",5
"225","Brett",24
"226","Brian",112
"227","Brick",1
"228","Brickyard",1
"229","Bris",1
"230","Britt",2
"231","Broadway",1
"232","Brock",5
"233","Broderick",1
"234","Bronson",3
"235","Bronswell",1
"236","Brook",2
"237","Brooks",7
"238","Brownie",1
"239","Bruce",41
"240","Bruno",3
"241","Bry",1
"242","Bryan",24
"243","Bryce",3
"244","Bryn",1
"245","Bub",2
"246","Bubba",8
"247","Bubber",1
"248","Bubbles",1
"249","Buck",33
"250","Buckshot",1
"251","Bucky",8
"252","Bud",34
"253","Buddy",30
"254","Bug",1
"255","Bugs",3
"256","Bull",3
"257","Bullet",1
"258","Bullet Joe",1
"259","Bump",2
"260","Bumpus",1
"261","Bun",1
"262","Bunk",1
"263","Bunky",1
"264","Bunny",7
"265","Burch",1
"266","Burgess",1
"267","Burke",1
"268","Burleigh",1
"269","Burley",1
"270","Burt",3
"271","Buster",11
"272","Butch",16
"273","Buttercup",1
"274","Buttons",1
"275","Butts",1
"276","Buz",1
"277","Buzz",8
"278","Buzzy",1
"279","By",1
"280","Byrd",1
"281","Byron",6
"282","Byung Ho",1
"283","Byung-Hyun",1
"284","C. B.",1
"285","C. C.",1
"286","C. J.",5
"287","C. V.",1
"288","CC",1
"289","Cactus",1
"290","Cad",1
"291","Cal",19
"292","Caleb",4
"293","Callix",1
"294","Calvin",6
"295","Cam",2
"296","Cameron",4
"297","Camilo",1
"298","Camp",1
"299","Candy",6
"300","Cap",4
"301","Cardell",1
"302","Carden",1
"303","Carey",1
"304","Carl",50
"305","Carlisle",1
"306","Carlos",70
"307","Carlton",4
"308","Carmelo",2
"309","Carmen",5
"310","Carney",2
"311","Carr",1
"312","Carroll",3
"313","Carson",5
"314","Carter",2
"315","Casey",18
"316","Casper",2
"317","Cass",1
"318","Catfish",1
"319","Cecil",11
"320","Cecilio",1
"321","Ced",1
"322","Cedric",2
"323","Cedrick",1
"324","Celerino",1
"325","Cesar",15
"326","Cha-Seung",1
"327","Chad",35
"328","Champ",2
"329","Chan",1
"330","Chan Ho",1
"331","Chance",2
"332","Chang-Yong",1
"333","Chappie",3
"334","Chappy",2
"335","Charles",16
"336","Charley",9
"337","Charlie",241
"338","Charlton",1
"339","Chase",6
"340","Chasen",1
"341","Chauncey",2
"342","Chaz",1
"343","Che-Hsuan",1
"344","Cherokee",1
"345","Ches",1
"346","Cheslor",1
"347","Chester",1
"348","Chet",17
"349","Chi Chi",1
"350","Chi-Chi",1
"351","Chia-Jen",1
"352","Chick",28
"353","Chicken",2
"354","Chico",10
"355","Chief",11
"356","Chien-Ming",1
"357","Chile",1
"358","Chili",1
"359","Chin-Feng",1
"360","Chin-hui",1
"361","Chin-lung",1
"362","Chink",4
"363","Chip",5
"364","Chipper",1
"365","Chippy",2
"366","Chito",1
"367","Cholly",1
"368","Chone",1
"369","Choo",1
"370","Choo-Choo",1
"371","Chris",162
"372","Christian",9
"373","Christy",1
"374","Chub",3
"375","Chubby",2
"376","Chucho",1
"377","Chuck",60
"378","Chummy",1
"379","Cinders",1
"380","Cisco",1
"381","Cito",1
"382","Cla",1
"383","Clancy",1
"384","Claral",1
"385","Clare",1
"386","Clarence",21
"387","Clark",1
"388","Claud",1
"389","Claude",19
"390","Claudell",1
"391","Claudio",1
"392","Clay",19
"393","Clayton",5
"394","Cleatus",1
"395","Clem",6
"396","Clemente",1
"397","Cleo",2
"398","Cleon",1
"399","Clete",2
"400","Cliff",30
"401","Clint",14
"402","Clipper",1
"403","Clise",1
"404","Cloy",1
"405","Cloyd",1
"406","Clyde",17
"407","Coaker",1
"408","Cobe",1
"409","Coco",2
"410","Cody",14
"411","Colby",3
"412","Cole",7
"413","Colin",6
"414","Collin",3
"415","Colonel",1
"416","Colt",2
"417","Colter",1
"418","Colton",1
"419","Con",5
"420","Connie",9
"421","Connor",1
"422","Conny",1
"423","Conor",3
"424","Conrad",1
"425","Cookie",3
"426","Cool Papa",1
"427","Cooney",1
"428","Coonie",1
"429","Coot",1
"430","Corban",1
"431","Cord",1
"432","Corey",10
"433","Corky",3
"434","Cory",14
"435","Costen",1
"436","Cot",1
"437","Cotton",5
"438","Count",3
"439","Courtney",1
"440","Cowboy",1
"441","Cozy",2
"442","Craig",38
"443","Crash",1
"444","Crazy",1
"445","Creepy",1
"446","Creighton",1
"447","Crese",1
"448","Cris",2
"449","Cristhian",2
"450","Cristian",1
"451","Cristobal",1
"452","Cub",1
"453","Cuckoo",1
"454","Cuddles",1
"455","Cuke",1
"456","Culley",1
"457","Cum",1
"458","Cuno",1
"459","Cupid",1
"460","Curly",2
"461","Curry",1
"462","Curt",24
"463","Curtis",7
"464","Cy",28
"465","Cyclone",2
"466","D'Angelo",1
"467","D. J.",4
"468","D. T.",1
"469","DJ",1
"470","DaRond",1
"471","Dad",6
"472","Dae-Sung",1
"473","Dae-ho",1
"474","Daff",1
"475","Dain",1
"476","Daisuke",1
"477","Daisy",1
"478","Dal",1
"479","Dale",18
"480","Dalier",1
"481","Dallas",7
"482","Dalton",2
"483","Damaso",3
"484","Damian",4
"485","Damien",1
"486","Damion",1
"487","Damon",5
"488","Dan",110
"489","Dana",5
"490","Dane",4
"491","Daniel",26
"492","Dann",2
"493","Danny",74
"494","Dansby",1
"495","Dante",2
"496","Danys",1
"497","Dar",1
"498","Darby",1
"499","Darcy",1
"500","Daren",1
"501","Daric",1
"502","Dariel",1
"503","Darin",4
"504","Dario",3
"505","Darnell",3
"506","Darold",1
"507","Darrel",2
"508","Darrell",15
"509","Darren",11
"510","Darrin",4
"511","Darron",1
"512","Darryl",7
"513","Darwin",2
"514","Daryl",7
"515","Daryle",1
"516","Dasher",1
"517","Dave",212
"518","Davey",6
"519","David",59
"520","Davis",1
"521","Davy",2
"522","Dax",1
"523","Dayan",2
"524","Dazzy",1
"525","DeWayne",2
"526","Deacon",7
"527","Dean",10
"528","Debs",1
"529","Dee",9
"530","Deion",1
"531","Deivi",1
"532","Deke",1
"533","Del",16
"534","Delino",2
"535","Dell",2
"536","Dellin",1
"537","Delmon",1
"538","Delos",2
"539","Delvin",1
"540","Delwyn",1
"541","Denard",1
"542","Denis",3
"543","Denney",1
"544","Dennis",35
"545","Denny",22
"546","Dennys",1
"547","Denver",1
"548","Deolis",1
"549","Derek",15
"550","Dernell",1
"551","Deron",1
"552","Derrek",1
"553","Derrel",1
"554","Derrell",1
"555","Derrick",5
"556","Derrin",1
"557","Desi",2
"558","Desmond",2
"559","Destin",1
"560","Deunte",1
"561","Deven",1
"562","Devern",1
"563","Devin",1
"564","Devon",3
"565","Dewayne",1
"566","Dewey",5
"567","Dewon",2
"568","Dexter",1
"569","Dib",1
"570","Dick",156
"571","Dickey",2
"572","Dickie",3
"573","Dicky",1
"574","Didi",1
"575","Diego",2
"576","Dike",1
"577","Dillon",2
"578","Dilson",2
"579","Dink",1
"580","Dinny",1
"581","Dino",2
"582","Dinty",1
"583","Diomedes",1
"584","Dion",1
"585","Dioner",1
"586","Diory",1
"587","Dirk",1
"588","Dixie",11
"589","Dixon",1
"590","Dizzy",4
"591","Dmitri",1
"592","Doc",53
"593","Dock",1
"594","Dode",2
"595","Doe",1
"596","Doggie",1
"597","Dolan",1
"598","Dolf",1
"599","Dolly",2
"600","Dolph",1
"601","Dom",3
"602","Domingo",6
"603","Dominic",2
"604","Domonic",1
"605","Don",132
"606","Donald",2
"607","Donaldo",1
"608","Donell",1
"609","Donie",1
"610","Donn",3
"611","Donne",1
"612","Donnie",9
"613","Donny",1
"614","Donovan",3
"615","Dontrelle",1
"616","Donzell",1
"617","Dooley",1
"618","Dorn",1
"619","Dorsey",1
"620","Dory",1
"621","Dot",1
"622","Dots",1
"623","Doug",60
"624","Doyle",2
"625","Doyt",1
"626","Drake",1
"627","Drew",18
"628","Drummond",1
"629","Drungo",1
"630","Duane",10
"631","Duaner",1
"632","Ducky",5
"633","Dud",2
"634","Dude",1
"635","Duff",2
"636","Duffy",2
"637","Duke",15
"638","Dummy",7
"639","Dupee",1
"640","Dustan",1
"641","Duster",1
"642","Dustin",10
"643","Dusty",12
"644","Dutch",31
"645","Dwain",1
"646","Dwayne",3
"647","Dwight",9
"648","Dyar",1
"649","Dykes",1
"650","Dylan",3
"651","Earl",45
"652","Earle",5
"653","Early",1
"654","Ebba",1
"655","Ed",279
"656","Edd",1
"657","Eddie",104
"658","Eddy",4
"659","Edgar",13
"660","Edgard",1
"661","Edgardo",1
"662","Edgmer",1
"663","Edinson",1
"664","Eduardo",7
"665","Edubray",1
"666","Edwar",2
"667","Edward",4
"668","Edwards",1
"669","Edwin",11
"670","Effa",1
"671","Effie",1
"672","Efrain",1
"673","Efren",1
"674","Egyptian",1
"675","Ehire",1
"676","Ehren",1
"677","Eider",1
"678","Einar",1
"679","El",1
"680","Elam",1
"681","Elbert",1
"682","Elbie",1
"683","Elden",1
"684","Elder",1
"685","Eli",5
"686","Elian",1
"687","Elias",3
"688","Eliezer",1
"689","Elih",1
"690","Elijah",2
"691","Elio",1
"692","Elizardo",1
"693","Ellie",1
"694","Elliot",2
"695","Elliott",1
"696","Ellis",6
"697","Elmer",35
"698","Elmo",1
"699","Elrod",1
"700","Elston",1
"701","Elvin",1
"702","Elvio",1
"703","Elvis",3
"704","Em",1
"705","Emerson",1
"706","Emil",15
"707","Emiliano",1
"708","Emilio",2
"709","Emmanuel",1
"710","Emmet",2
"711","Emmett",5
"712","Ender",1
"713","Endy",1
"714","Enerio",1
"715","Engel",1
"716","Enny",1
"717","Enos",3
"718","Enrique",7
"719","Ensign",1
"720","Enzo",1
"721","Epp",1
"722","Eppa",1
"723","Eppie",1
"724","Erasmo",2
"725","Eric",62
"726","Erick",3
"727","Erik",17
"728","Erisbel",1
"729","Ernest",1
"730","Ernesto",1
"731","Ernie",50
"732","Erskine",2
"733","Erubiel",1
"734","Erv",5
"735","Erve",1
"736","Ervin",1
"737","Erwin",1
"738","Esix",1
"739","Esmailin",1
"740","Esmerling",1
"741","Esmil",1
"742","Esteban",4
"743","Estel",1
"744","Esty",1
"745","Ethan",3
"746","Eude",1
"747","Euel",1
"748","Eugenio",2
"749","Eury",2
"750","Eusebio",1
"751","Evan",8
"752","Evans",1
"753","Evar",1
"754","Evelio",1
"755","Ever",1
"756","Everett",6
"757","Everth",1
"758","Ewald",1
"759","Ewell",1
"760","Ezequiel",2
"761","Ezra",3
"762","F. P.",1
"763","Fabian",2
"764","Fabio",1
"765","Fancy",1
"766","Farmer",5
"767","Fats",1
"768","Fatty",1
"769","Fausto",1
"770","Fautino",1
"771","Favel",1
"772","Fay",1
"773","Faye",1
"774","Felipe",7
"775","Felix",18
"776","Fenton",1
"777","Ferd",1
"778","Ferdie",2
"779","Fergie",1
"780","Fergy",1
"781","Fern",1
"782","Fernando",19
"783","Ferrell",1
"784","Ferris",1
"785","Fielder",1
"786","Fin",1
"787","Finners",1
"788","Firpo",1
"789","Flame",1
"790","Flea",1
"791","Fleet",1
"792","Fletcher",1
"793","Fleury",1
"794","Flint",1
"795","Flip",1
"796","Floyd",14
"797","Foghorn",1
"798","Footer",1
"799","Footsie",1
"800","Ford",2
"801","Forrest",3
"802","Foster",2
"803","Fraley",1
"804","Fran",2
"805","Francis",2
"806","Francisco",18
"807","Francisley",1
"808","Frank",276
"809","Frankie",12
"810","Franklin",4
"811","Franklyn",1
"812","Franquelis",1
"813","Fred",165
"814","Freddie",13
"815","Freddy",13
"816","Frederick",3
"817","Fredi",1
"818","Freeman",1
"819","Frenchy",2
"820","Fresco",1
"821","Fritz",15
"822","Fritzie",1
"823","Frosty",1
"824","Fu-Te",1
"825","Fuller",1
"826","Fuzz",1
"827","Gabby",2
"828","Gabe",7
"829","Gabriel",1
"830","Gaby",1
"831","Gail",3
"832","Gair",1
"833","Gale",2
"834","Galen",1
"835","Gar",1
"836","Garey",1
"837","Garin",1
"838","Garland",5
"839","Garret",1
"840","Garrett",6
"841","Garry",6
"842","Garth",2
"843","Garton",1
"844","Garvin",2
"845","Gary",73
"846","Gat",1
"847","Gates",1
"848","Gavin",2
"849","Gavvy",1
"850","Gaylen",1
"851","Gaylord",1
"852","Gee",1
"853","Gene",82
"854","General",2
"855","Geno",2
"856","Geoff",5
"857","George",305
"858","Georges",1
"859","Geovany",1
"860","Gerald",5
"861","Geraldo",1
"862","Gerardo",2
"863","Geremi",1
"864","German",6
"865","Germany",2
"866","Geronimo",3
"867","Gerrit",1
"868","Gerry",8
"869","Giancarlo",1
"870","Gibby",1
"871","Gibson",1
"872","Gid",1
"873","Gil",20
"874","Gilly",1
"875","Ginger",3
"876","Gino",2
"877","Gio",1
"878","Giomar",1
"879","Giovanni",2
"880","Giovanny",1
"881","Glen",8
"882","Glenallen",1
"883","Glendon",1
"884","Glenn",30
"885","Goat",2
"886","Goldie",1
"887","Gomer",1
"888","Gonzalez",1
"889","Gonzalo",1
"890","Goody",1
"891","Goose",1
"892","Gordie",6
"893","Gordon",11
"894","Gordy",2
"895","Gorkys",1
"896","Gorman",2
"897","Gowell",1
"898","Gracie",1
"899","Grady",5
"900","Graeme",1
"901","Graham",3
"902","Graig",1
"903","Granny",1
"904","Grant",10
"905","Greasy",1
"906","Greek",1
"907","Greg",70
"908","Gregg",3
"909","Gregor",1
"910","Gregorio",1
"911","Gregory",1
"912","Grey",1
"913","Grover",6
"914","Guerdon",1
"915","Guido",2
"916","Guilder",1
"917","Guillermo",7
"918","Gus",34
"919","Gussie",1
"920","Gustavo",2
"921","Guy",14
"922","Hack",7
"923","Haddie",1
"924","Hal",70
"925","Ham",6
"926","Hank",59
"927","Hanley",2
"928","Hans",2
"929","Hansel",2
"930","Hanser",1
"931","Hanson",1
"932","Hap",4
"933","Happy",7
"934","Hardie",1
"935","Hardin",2
"936","Hardy",2
"937","Harl",2
"938","Harlan",1
"939","Harland",1
"940","Harley",6
"941","Harlin",1
"942","Harlond",1
"943","Harmon",1
"944","Harold",2
"945","Harrison",1
"946","Harry",178
"947","Harvey",18
"948","Hawk",1
"949","Hayden",1
"950","Haywood",1
"951","Heath",5
"952","Heathcliff",1
"953","Hector",25
"954","Hee-Seop",1
"955","Heinie",22
"956","Heinz",1
"957","Henderson",1
"958","Henri",1
"959","Henry",56
"960","Hensley",1
"961","Herb",27
"962","Herbert",3
"963","Herbie",1
"964","Hercules",1
"965","Herm",8
"966","Herman",13
"967","Hernan",2
"968","Herold",1
"969","Herschel",1
"970","Hersh",3
"971","Hervey",1
"972","Hezekiah",1
"973","Hi",8
"974","Hick",2
"975","Hideki",3
"976","Hideo",1
"977","High Pockets",1
"978","Highball",1
"979","Hiker",1
"980","Hillis",1
"981","Hilly",2
"982","Hilton",1
"983","Hinkey",1
"984","Hipolito",2
"985","Hippo",1
"986","Hiram",2
"987","Hiroki",1
"988","Hisanori",1
"989","Hisashi",1
"990","Hob",1
"991","Hobe",1
"992","Hobie",1
"993","Hod",6
"994","Hoge",1
"995","Holly",1
"996","Home Run",1
"997","Homer",11
"998","Honey",1
"999","Honus",1
"1000","Hooks",5
"1001","Hoot",1
"1002","Horace",7
"1003","Horacio",3
"1004","Horatio",1
"1005","Hosea",1
"1006","Hosken",1
"1007","Houston",1
"1008","Howard",19
"1009","Howdy",2
"1010","Howie",24
"1011","Hoyt",1
"1012","Hub",9
"1013","Hubie",1
"1014","Huck",4
"1015","Hugh",22
"1016","Hughie",6
"1017","Hugo",2
"1018","Humberto",4
"1019","Hung-Chih",1
"1020","Hunkey",1
"1021","Hunky",1
"1022","Hunter",8
"1023","Huston",1
"1024","Huyler",1
"1025","Hy",3
"1026","Hyun Soo",1
"1027","Hyun-Jin",1
"1028","Ian",7
"1029","Ice Box",1
"1030","Icehouse",1
"1031","Ichiro",1
"1032","Icicle",1
"1033","Ike",22
"1034","Ira",6
"1035","Irish",2
"1036","Iron",1
"1037","Irv",12
"1038","Irving",1
"1039","Isidro",1
"1040","Ismael",2
"1041","Israel",3
"1042","Italo",1
"1043","Ival",1
"1044","Ivan",10
"1045","Ivanon",1
"1046","Ivey",2
"1047","Ivy",3
"1048","Izzy",4
"1049","J C",1
"1050","J. A.",1
"1051","J. B.",3
"1052","J. C.",5
"1053","J. D.",5
"1054","J. J.",7
"1055","J. L.",1
"1056","J. P.",2
"1057","J. R.",6
"1058","J. T.",4
"1059","JD",1
"1060","JaCoby",1
"1061","Jabari",1
"1062","Jace",1
"1063","Jack",256
"1064","Jacke",1
"1065","Jackie",18
"1066","Jackson",2
"1067","Jacob",10
"1068","Jacoby",1
"1069","Jacque",1
"1070","Jae Kuk",1
"1071","Jae Weong",1
"1072","Jaff",1
"1073","Jai",1
"1074","Jailen",1
"1075","Jaime",6
"1076","Jair",1
"1077","Jairo",2
"1078","Jake",69
"1079","Jakie",1
"1080","Jalal",1
"1081","Jamal",1
"1082","James",29
"1083","Jameson",1
"1084","Jamey",2
"1085","Jamie",15
"1086","Jan",1
"1087","Jandel",1
"1088","Jap",1
"1089","Jared",6
"1090","Jaret",1
"1091","Jarred",1
"1092","Jarrett",3
"1093","Jarrod",5
"1094","Jarvis",2
"1095","Jason",87
"1096","Javier",7
"1097","Javy",2
"1098","Jay",41
"1099","Jaye",1
"1100","Jayhawk",1
"1101","Jayson",4
"1102","Jean",3
"1103","Jean-Pierre",1
"1104","Jeanmar",1
"1105","Jed",3
"1106","Jedd",1
"1107","Jeff",152
"1108","Jeffrey",2
"1109","Jefry",1
"1110","Jeimer",1
"1111","Jemile",1
"1112","Jennings",1
"1113","Jenrry",1
"1114","Jensen",1
"1115","Jeoff",1
"1116","Jerad",2
"1117","Jerald",1
"1118","Jered",1
"1119","Jeremiah",1
"1120","Jeremy",20
"1121","Jeriome",1
"1122","Jermaine",5
"1123","Jerome",2
"1124","Jeromy",1
"1125","Jerrod",1
"1126","Jerry",93
"1127","Jerry Don",1
"1128","Jersey",1
"1129","Jess",7
"1130","Jesse",34
"1131","Jessie",2
"1132","Jesus",16
"1133","Jett",1
"1134","Jeurys",1
"1135","Jewel",1
"1136","Jhan",1
"1137","Jharel",1
"1138","Jhonatan",1
"1139","Jhonny",2
"1140","Jhoulys",1
"1141","Ji-Man",1
"1142","Jigger",1
"1143","Jiggs",3
"1144","Jim",442
"1145","Jim Ray",1
"1146","Jimmie",10
"1147","Jimmy",74
"1148","Jimy",1
"1149","Jin Ho",1
"1150","Jing",1
"1151","Jo-Jo",4
"1152","Joakim",1
"1153","Joaquin",3
"1154","Joba",1
"1155","Joc",1
"1156","Jock",2
"1157","Jocko",7
"1158","Jodie",1
"1159","Jody",3
"1160","Joe",399
"1161","Joel",17
"1162","Joely",1
"1163","Joey",18
"1164","Johan",1
"1165","John",487
"1166","John Henry",1
"1167","John-Ford",1
"1168","Johnnie",7
"1169","Johnny",131
"1170","Johnson",1
"1171","Jolbert",1
"1172","Jon",25
"1173","Jonah",2
"1174","Jonathan",15
"1175","Jonathon",1
"1176","Jonny",2
"1177","Jophery",1
"1178","Jordan",13
"1179","Jordany",1
"1180","Jordy",1
"1181","Jorge",25
"1182","Jose",119
"1183","Joseph",6
"1184","Josh",67
"1185","Josias",1
"1186","Josmil",1
"1187","Jot",1
"1188","Jouett",1
"1189","Juan",54
"1190","Juan Carlos",1
"1191","Jud",5
"1192","Judge",3
"1193","Judy",1
"1194","Jug",1
"1195","Jul",1
"1196","Jule",1
"1197","Julian",2
"1198","Julie",2
"1199","Julio",25
"1200","Julius",2
"1201","Jumbo",8
